"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
1,"Local","United Kingdom","Orkney","Terrestrial","Grassland","Contemporary only","Management action","Case study","Integer programming","Ecosystems",1,"Multiple","None","yes","no","Hanley N., Kirkpatrick H., Simpson I., Oglethorpe D., Macdonald A.","Ecological-economic modelling of the conservation of threatened habitats: Heather moorland in the Northern Isles of Scotland",1996,"Biodiversity and Conservation","10.1007/BF00051572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030301214&doi=10.1007%2fBF00051572&partnerID=40&md5=0cd7e6e799fe314c9543ca9c42bdde4d","ecological economics; heather moorland; linear programming; modelling; over- grazing","conservation; ecological economics; endangered habitat; environmental conservation; heather; heather moorland; modelling; modelling approach; moorland; overgrazing; UK, Scotland, Orkney; Calluna; Calluna vulgaris; Ericaceae","Article","Scopus",4,1
2,"Local","United Kingdom","Wales","Terrestrial","All","Contemporary only","Representation","None","Integer programming","Species",151,"None","None","no","no","Woodhouse S., Lovett A., Dolman P., Fuller R.","Using a GIS to select priority areas for conservation",2000,"Computers, Environment and Urban Systems","10.1016/S0198-9715(99)00046-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034162210&doi=10.1016%2fS0198-9715%2899%2900046-0&partnerID=40&md5=eb7e4d585ff5b148dfd16096f292dafb","Conservation; DCA; GIS; MCLP; Priority weightings; Reserve selection","Community ordination; Detrended correspondence analysis; Maximal covering location problem; Priority weightings; Reserve selection; Algorithms; Conservation; Data acquisition; Ecosystems; Global warming; Mathematical models; Problem solving; Site selection; Geographic information systems; conservation planning; GIS; nature conservation; protected area; United Kingdom; Aves","Article","Scopus",29,0
3,"Local","United Kingdom","Sussex","Terrestrial","Grassland","Contemporary only","Representation","case study","GIS overlay/ Ranking / Clustering","Other",NA,"None","None","no","no","Lee J.T., Woddy S.J., Thompson S.","Targeting sites for conservation: Using a patch-based ranking scheme to assess conservation potential",2001,"Journal of Environmental Management","10.1006/jema.2001.0419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034956030&doi=10.1006%2fjema.2001.0419&partnerID=40&md5=ab7f03470d239376edcbf2d767b13109","Biodiversity conservation; Chalk grassland; GIS; Habitat Action Plans; Habitat evaluation; Policy; Targeting","GIS; nature conservation; site selection; targeting; article; calculation; controlled study; environmental planning; environmental protection; geography; home; information system; intermethod comparison; land use; nonhuman; species difference; United Kingdom; Chilterns; England; United Kingdom","Article","Scopus",25,0
4,"National","Greece",NA,"Terrestrial","Wetland","Contemporary only","Representation","case study","Integer programming","Other",3,"None","None","no","no","Memtsas D.P., Dimitrakopoulos P.G., Troumbis A.Y.","Incorporating multiple ecological criteria in classical zero one selection algorithms",2002,"Web Ecology","10.5194/we-3-48-2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036995419&doi=10.5194%2fwe-3-48-2002&partnerID=40&md5=0ef28d90a7610d3c2b9d3bbd51643372","NA","conservation status; nature reserve; rarity; reserve design; species richness; algorithm; avifauna; conservation status; nature reserve; site selection; Eurasia; Europe; Greece; Southern Europe","Article","Scopus",3,0
5,"Local","Greece","Crete","Terrestrial","All","Contemporary only","Priority places","None","Integer programming","Species",194,"Multi-objective/criteria","None","no","no","Memtsas D.P.","Multiobjective programming methods in the reserve selection problem",2003,"European Journal of Operational Research","10.1016/S0377-2217(02)00519-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642294810&doi=10.1016%2fS0377-2217%2802%2900519-2&partnerID=40&md5=b995aa10326eb38b3ce801bde7e5c7ff","Multiple criteria analysis; Multiple objective programming; Reserve selection","Algorithms; Combinatorial mathematics; Conservation; Decision making; Heuristic methods; Linear programming; Problem solving; Random processes; Multiple criteria analysis; Multiple objective programming; Reserve selection; Biodiversity","Article","Scopus",34,1
6,"Local","United Kingdom","England","Terrestrial","None","Contemporary only","Representation","None","Integer programming","Species",121,"None","Boundary","no","no","Önal H., Briers R.A.","Selection of a minimum-boundary reserve network using integer programming",2003,"Proceedings of the Royal Society B: Biological Sciences","10.1098/rspb.2003.2393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037823381&doi=10.1098%2frspb.2003.2393&partnerID=40&md5=4aeb71e8250087484d781646e32360e5","Linear integer programming; Minimum boundary; Reserve network","boundary; linear programing; nature conservation; reserve design; site selection; article; bird; conservation biology; migration; model; nonhuman; priority journal; technique; United Kingdom; Aves","Article","Scopus",73,0
7,"Local","Sweden","Kungsbackafjord","Cross-realm","Rivers, Coastal","Contemporary only","Management action","None","Integer programming","Ecosys. Services / NCP",1,"Costs","Boundary","yes","no","Hart R.","Dynamic pollution control - Time lags and optimal restoration of marine ecosystems",2003,"Ecological Economics","10.1016/j.ecolecon.2002.09.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344584523&doi=10.1016%2fj.ecolecon.2002.09.002&partnerID=40&md5=1b4ff4f5e32cb7f02ea15102704106b4","Dynamic programming; Eutrophication; Groundwater; Mussels","eutrophication; marine pollution; methodology; modeling; pollution control; restoration ecology","Article","Scopus",36,1
8,"Local","Sweden","Northern","Terrestrial","Forest","Contemporary only","Synergies/Tradeoffs","Case study","Integer programming","Ecosystems",1,"Multi-objective/criteria","None","no","no","Zhou W., Gong P.","Economic effects of environmental concerns in forest management: An analysis of the cost of achieving environmental goals",2004,"Journal of Forest Economics","10.1016/j.jfe.2004.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344599151&doi=10.1016%2fj.jfe.2004.05.003&partnerID=40&md5=a17277c9f922c23aded027c4d7153106","Biodiversity; Forest planning; Modeling to generate alternatives; Multiple-use forestry; Ranking of fuzzy numbers","Economic and social effects; Environmental impact; Linear programming; Timber; Deadwood; Old-growth forests; Forestry; dead wood; economic impact; environmental values; forest management; forestry production; Economic Analysis; Forestry; Linear Programing; Pollution Control; Eurasia; Europe; Northern Europe; Scandinavia; Sweden","Article","Scopus",16,0
9,"Local","United Kingdom","Scotland","Terrestrial","Forest","Contemporary only","Management action","Case study","Integer programming","Ecosystems",1,"Multi-objective/criteria","None","no","yes","MacMillan D.C., Marshall K.","Optimising capercailzie habitat in commercial forestry plantations",2004,"Forest Ecology and Management","10.1016/j.foreco.2004.05.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543065807&doi=10.1016%2fj.foreco.2004.05.027&partnerID=40&md5=611b91c30d845efaff8ceb96dcaf58c7","Biodiversity; Conservation; Harvesting; Modelling; Plantations","Biodiversity; Crops; Decision support systems; Ecology; Linear programming; Managers; Mathematical models; Ocean habitats; Sustainable development; Timber; Decision-support tools; Forest managers; Habitats; Timber production; Forestry; conservation; decision support system; forest management; modeling; plantation forestry; Biodiversity; Decision Making; Ecology; Forestry; Cairngorm Mountains; Eurasia; Europe; Grampian Highlands; Scotland; United Kingdom; Western Europe","Article","Scopus",12,1
10,"Local","United Kingdom","England","Terrestrial","Forest","Contemporary only","Priority places","None","GIS overlay/ Ranking / Clustering","Species",1,"None","None","no","no","Nikolakaki P.","A GIS site-selection process for habitat creation: Estimating connectivity of habitat patches",2004,"Landscape and Urban Planning","10.1016/S0169-2046(03)00167-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642307318&doi=10.1016%2fS0169-2046%2803%2900167-1&partnerID=40&md5=f5ee4e620ddf34a6fa6e0ee547c35fee","Birds; Connectivity; Conservation planning; GIS; Habitat fragmentation; Population dynamics","Biodiversity; Decision making; Ecology; Geographic information systems; Habitat creation; Landscaping; Site-selection; Urban planning; bird; connectivity; GIS; habitat creation; landscape planning; population dynamics; England; Eurasia; Europe; United Kingdom; Western Europe; Aves; Phoenicurous phoenicurous","Article","Scopus",98,0
